,x,y,size,average_distance
0,-73.9229130432,40.7364515718,3302,0.0347278711729
1,-74.1285272151,40.5896860826,1775,0.0551874407478
2,-73.7596804631,40.747099081,3622,0.0357552900604
3,-73.9435032419,40.5985110225,1918,0.0358530172615
4,-73.8786236745,40.852384993,2281,0.0435222618612
5,-73.7927535403,40.6713760409,2160,0.0500469371467
6,-73.83967511,40.7350309066,4919,0.037370849345
7,-73.9864459399,40.7035839878,5180,0.0289047696713
8,-73.9254122703,40.6635901262,2566,0.038149697173
9,-73.9374114724,40.8121036529,2768,0.0319596305976
10,-74.0052143256,40.6309635796,1951,0.0338346557306
11,-73.9832382694,40.7569715527,5777,0.0246078362677
