,x,y,size,average_distance
0,-73.873174916,40.8542467471,932,0.0444360701186
1,-73.8293419904,40.6938345227,960,0.0333561457262
2,-73.9858983948,40.7457191278,1212,0.0301922272383
3,-74.1352700399,40.5824374648,474,0.0625078121103
4,-73.830835046,40.7551462365,687,0.0356605559706
5,-73.9517204518,40.6066262845,821,0.0351604669111
6,-73.7597227268,40.7353714138,667,0.0406984099436
7,-73.9128685313,40.7473077362,627,0.0343568302451
8,-73.7667711928,40.6572319398,417,0.0496216985605
9,-73.9675653493,40.6951701539,969,0.0334231663944
10,-74.0103896328,40.6250048082,517,0.0342883905115
11,-73.9102624945,40.6621754638,883,0.0360860468339
12,-73.9326554104,40.8193465178,908,0.0355593503183
