,x,y,size,average_distance
0,-73.8813769397,40.8525241782,1356,0.0447799878642
1,-73.9911770935,40.7044076328,2815,0.0280418779071
2,-73.7585928892,40.7449481356,1006,0.0371823743682
3,-73.9900916644,40.6171237659,1155,0.0445422998646
4,-73.9836997426,40.7563599568,5234,0.0220574649177
5,-73.9267703513,40.7359415467,1224,0.0323678865678
6,-73.9429641889,40.8066224827,1824,0.0311730549807
7,-73.9218747433,40.6494666387,1188,0.0450884898348
8,-74.1265668778,40.5914506034,616,0.0577396374577
9,-73.795142658,40.674769813,1004,0.0504428835473
10,-73.8412675715,40.7376405285,1536,0.0374651580397
