,x,y,size,average_distance
0,-73.975086004,40.7257733217,350,0.0442755309268
1,-73.8452823415,40.7405189819,260,0.0453527799206
2,-74.1053077586,40.603712904,99,0.0449713400124
3,-73.8712334313,40.8554261985,258,0.046979135653
4,-73.9811253814,40.6209534992,253,0.048786271538
5,-73.9088605136,40.663183686,257,0.0462582177899
6,-74.1874106411,40.5502348804,56,0.0459268606016
7,-73.93359118,40.8100434535,246,0.0412042644685
8,-73.7903454529,40.6644651356,191,0.0564606272482
9,-73.7600118763,40.7320770512,211,0.0437801475694
