,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
919051,-73.9802186,40.6150052,0
587479,-73.9105484,40.6575246,0
976905,-73.810322,40.6670811,1
486955,-73.9571303,40.6884631,0
16658,-73.94186,40.851818,0
541199,-73.8064642,40.6984091,0
991538,-73.9413524,40.8018664,0
77993,-73.9272013,40.8741512,1
729030,-73.9720063,40.6322738,0
667140,-73.9623122,40.7197689,0
250826,-73.8839853,40.8049519,0
696888,-73.8259851,40.7483098,0
612518,-74.0097367,40.6456658,0
563482,-73.8366945,40.7816495,0
568376,-73.9934636,40.7521904,0
897522,-73.8262226,40.8343549,0
906495,-73.9634255,40.7618573,0
64220,-73.7119312,40.7365558,2
832490,-73.8417489,40.7121127,0
348089,-73.9840137,40.5901544,0
64202,-73.8677857,40.7445145,0
448188,-73.7857186,40.7629209,0
681962,-73.8565294,40.6859635,0
546973,-73.8190924,40.7533853,0
550840,-73.8574836,40.6781722,1
216594,-73.9835497,40.7342607,3
94093,-74.0016664,40.7095234,1
11680,-73.762505,40.60664,1
363992,-73.9059739,40.640237,3
940318,-73.9534701,40.7302699,0
713747,-73.9472285,40.6750535,3
689410,-74.0057798,40.7256734,2
368889,-73.918015,40.6702714,0
19018,-73.91369,40.83226,0
430522,-73.9305396,40.7265097,0
509000,-73.9823647,40.7673924,2
44073,-73.9645308,40.7672346,1
969115,-73.7137011,40.7361595,0
494662,-73.990946,40.7396742,1
530341,-73.8836235,40.8672566,0
291564,-73.820878,40.6705427,0
221500,-73.8612312,40.6669479,0
567058,-74.0847251,40.5996982,0
856321,-73.8960143,40.7352388,1
5719,-73.90719,40.68556,0
276244,-73.975589,40.6870851,0
98320,-73.8164151,40.7098656,0
890388,-73.9702235,40.5905415,0
910789,-73.8200424,40.6916433,0
976859,-73.9486777,40.8156923,2
978052,-73.9123973,40.6163899,0
395122,-73.7826497,40.6670766,1
395163,-74.0117465,40.7223244,0
28100,-73.95089,40.818394,0
668016,-73.9167319,40.869319,0
689648,-73.9422665,40.7016369,1
882870,-73.9310841,40.6582963,1
602457,-73.9648003,40.715046,0
484247,-73.9955453,40.764627,0
653947,-73.9661334,40.6896738,0
8234,-73.761955,40.717056,0
326164,-73.9138458,40.8336934,0
456197,-73.8423577,40.7155198,0
772554,-73.8926861,40.8323444,0
452470,-73.7600656,40.7031415,0
537745,-73.7484927,40.6111443,0
106834,-73.8654089,40.6519753,0
999333,-73.9275386,40.6772496,1
45022,-73.9426118,40.6649477,0
592287,-73.8647387,40.6917127,0
768465,-73.9555646,40.8194253,0
917268,-73.7981052,40.68511,0
569227,-73.903851,40.8281961,0
908173,-74.1593818,40.5408333,0
416404,-73.8875661,40.8555543,0
351917,-73.9189434,40.8644625,1
320242,-74.0051756,40.7514055,0
582310,-73.8254559,40.7120013,0
51694,-73.9490078,40.8233146,0
469624,-73.9481706,40.7246381,0
377686,-73.738228,40.6686304,0
863803,-74.1216062,40.5735565,1
841086,-73.9967485,40.5956424,0
602707,-73.7777101,40.7220991,1
