,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
404169,-73.9170093,40.6934476,0
905540,-73.999062,40.6887701,0
293817,-73.9421061,40.670341,0
224157,-73.9333441,40.7988483,0
874419,-73.983213,40.6959932,0
885152,-73.996258,40.699703,0
223622,-73.9537014,40.662175,0
468631,-73.8957945,40.8642161,0
520569,-73.8736557,40.7568039,0
928516,-73.9993034,40.7513754,0
397384,-73.7783114,40.748744,0
708697,-73.8544944,40.7367356,0
546658,-73.9712411,40.7609373,0
395287,-73.9139752,40.8454299,0
679273,-73.9463403,40.7189892,1
217847,-74.1672766,40.5268949,0
497269,-73.9511673,40.8101738,0
384761,-73.9489716,40.7688772,0
694840,-73.9739693,40.7629663,0
626059,-74.0084591,40.7440247,0
781614,-73.9292693,40.7275681,0
930659,-74.0047726,40.6572332,0
373756,-73.9384114,40.8578691,0
439934,-74.0723541,40.6051344,1
507092,-73.9588589,40.7095517,0
950044,-73.9885328,40.7101611,0
507715,-73.9405585,40.7889493,0
602640,-73.8446465,40.7354267,0
400028,-73.9732091,40.7952524,0
834230,-73.9447576,40.7197624,0
906183,-73.9026216,40.6806649,0
614087,-73.9220058,40.654629,0
832553,-73.9996498,40.7631147,0
636633,-73.9593221,40.8193772,0
296755,-73.7629282,40.7612459,0
461576,-73.8259671,40.75933,0
931264,-73.9982253,40.7132425,0
522635,-73.9969136,40.7627496,0
1005669,-73.9335895,40.7447332,0
853655,-73.8878164,40.7672019,0
724290,-73.9782759,40.6851972,0
268614,-73.8683145,40.668669,0
565501,-74.0215991,40.6445992,0
339090,-73.9402725,40.7655311,0
245209,-73.7266443,40.74091,1
287527,-74.1748536,40.55734,1
511025,-73.9077727,40.6813773,0
757045,-73.9459054,40.6528558,1
493178,-73.9481686,40.7039152,0
259015,-74.1436948,40.5524289,0
701734,-73.996771,40.725432,0
548536,-74.0017363,40.761391,0
446509,-73.9684772,40.7966428,0
614207,-73.9446107,40.732072,0
531894,-73.8563019,40.7363231,2
388670,-73.9334695,40.6734077,2
412951,-73.9219315,40.6627452,0
785984,-73.9661291,40.7621793,0
342379,-73.7500339,40.6658597,0
239904,-73.99911,40.6915381,0
403172,-73.8440681,40.7340278,0
727522,-73.9887629,40.696197,0
881409,-74.1642702,40.5433352,0
515022,-73.9624487,40.6631828,0
978019,-73.9321479,40.7257532,1
562686,-73.9921609,40.7197501,0
416412,-73.9762114,40.5798272,0
349394,-73.9571976,40.7801763,0
849935,-73.8280022,40.861425,3
294270,-73.9902908,40.6053284,0
423920,-74.00298,40.7233076,0
748752,-73.999062,40.6887701,0
805256,-73.8508811,40.7375562,0
695327,-73.7587145,40.764595,0
453944,-73.9542923,40.6992956,0
529132,-73.7651222,40.7732352,0
904746,-74.1675905,40.5889546,0
643541,-73.8851569,40.6914567,0
247588,-73.9563058,40.7086752,0
766070,-74.0109643,40.7261753,1
866654,-73.9846193,40.7591997,0
383819,-73.817418,40.7044959,0
773065,-73.7247824,40.7639702,2
352419,-73.9807025,40.6853239,0
720211,-73.746017,40.7526667,3
550659,-74.0045344,40.7162809,0
28413,-73.863594,40.882168,2
371920,-73.999242,40.7595273,0
687069,-73.8300825,40.7139131,0
893403,-73.7267962,40.7408436,0
1000694,-73.9896203,40.7014547,0
495071,-73.9405709,40.6779707,0
736842,-73.9978601,40.7410552,3
20896,-74.074844,40.625225,3
842772,-73.9712871,40.5834157,0
600821,-73.9266876,40.6446136,0
841490,-73.9609841,40.7083558,3
411233,-73.9857652,40.7177239,0
456058,-73.8746593,40.7432679,0
452321,-74.0080628,40.7493029,0
744202,-73.9872096,40.6721609,0
311945,-73.8683917,40.7328231,0
475622,-73.8044449,40.6803775,0
248191,-73.7699963,40.6672401,0
641831,-74.0070804,40.6413265,0
341310,-74.0055981,40.7103961,0
865683,-73.817832,40.739659,0
515533,-74.0018831,40.7193963,0
246727,-73.9582455,40.704202,3
514035,-73.9922237,40.7379177,0
405804,-73.9424305,40.753996,0
443635,-73.7746886,40.7687928,0
739804,-73.7569828,40.76226,0
247847,-73.9278657,40.6281676,0
447476,-73.948513,40.6409447,0
325139,-73.8718221,40.6667077,1
703847,-73.9078565,40.6781165,1
680840,-73.9744569,40.7622939,0
240281,-73.9519581,40.7151811,0
446214,-73.8459652,40.7396924,0
303516,-73.8457263,40.7412355,1
531751,-73.7676802,40.726176,0
502560,-73.9958836,40.6068878,0
659720,-73.9781673,40.7416432,0
810837,-73.947872,40.626666,0
926654,-73.9821021,40.777095,0
292372,-73.9311544,40.8040684,0
567939,-73.9817185,40.7671096,0
507770,-73.7583771,40.7487374,0
461131,-74.0018831,40.7193963,0
822070,-73.9536264,40.775292,0
865781,-74.1698344,40.5708795,0
495583,-73.9191518,40.654358,0
754969,-73.7748402,40.72405,0
606865,-73.9489716,40.7688772,0
368753,-73.9069229,40.6547385,0
363608,-73.9326147,40.6452458,0
339139,-73.8533367,40.8424703,0
412335,-73.9416672,40.8301591,0
797076,-73.9160192,40.5846,1
422440,-73.7442778,40.753791,0
617726,-73.9047713,40.7128656,0
357161,-74.0166846,40.7047985,0
217167,-73.9020396,40.6448752,1
635579,-73.9684806,40.7589494,0
271518,-73.8587895,40.8242083,0
517785,-73.7609191,40.6663479,0
456444,-74.1539416,40.6122163,0
283763,-73.8195304,40.7085073,0
365004,-73.9409715,40.8241314,0
442345,-73.8725586,40.8565383,0
681396,-73.920574,40.7328913,0
224019,-73.724982,40.7245546,2
315023,-73.978388,40.6844232,0
233932,-73.8921191,40.8187987,0
402505,-73.8726917,40.7550297,0
616895,-74.0689388,40.6038348,0
443537,-73.9242603,40.8306815,0
297329,-73.8059498,40.6830976,0
474176,-74.000137,40.6746895,0
821028,-74.0200041,40.6426688,0
451268,-73.9795064,40.7932304,0
937635,-73.9817534,40.679313,0
1002440,-73.9401564,40.8064083,0
261282,-73.9889465,40.7634847,0
435977,-73.8148012,40.7338001,0
523254,-73.7349096,40.7130252,0
357142,-73.7569053,40.7620943,0
404868,-74.0079578,40.7468134,0
867415,-73.9502731,40.7015803,1
363217,-73.8944008,40.7583536,0
453337,-73.8377671,40.7254507,0
749078,-74.0026922,40.7446206,0
517484,-73.9960038,40.7639984,0
520631,-73.7332125,40.6750521,0
930294,-73.9484774,40.6917093,0
413813,-73.7644677,40.7188891,0
709566,-73.7455557,40.7306377,1
296862,-73.8909216,40.7663513,1
373811,-73.9507996,40.7749285,0
321716,-73.7838294,40.7199191,0
285219,-73.7442778,40.753791,0
784421,-73.9754511,40.7189463,1
358876,-73.9138714,40.7303695,0
907270,-73.9736365,40.7645691,0
321353,-73.961813,40.699718,0
872988,-73.9182933,40.6873579,0
462946,-73.9842822,40.7647907,1
365201,-73.976702,40.5826881,0
403316,-73.9838015,40.5890428,0
529365,-73.8346499,40.6671159,0
513507,-73.8974505,40.6184698,0
629523,-74.0346399,40.6088981,0
1000190,-73.9090397,40.8626793,0
768056,-73.9427541,40.8057427,0
420009,-73.8359648,40.7216784,0
604290,-73.7754422,40.7526555,0
455121,-73.7736537,40.670701,1
681101,-73.9845292,40.6960346,1
991285,-73.9896203,40.7014547,0
569945,-73.967306,40.7692226,0
477273,-73.9279233,40.72895,0
337419,-73.8984097,40.7411151,1
476003,-73.9729552,40.6734869,0
851154,-74.0166661,40.6030702,0
930183,-73.9869514,40.720982,0
261963,-73.7433292,40.7542629,0
509453,-73.9849614,40.6984445,0
234816,-73.8578041,40.8998154,0
252251,-73.8759568,40.8798659,2
899782,-73.946481,40.6317075,0
390296,-73.989468,40.7301223,0
873103,-73.9508492,40.5846618,0
389723,-73.7269757,40.6951827,0
921642,-73.7569828,40.76226,1
513808,-73.996304,40.7533873,0
465911,-73.9573747,40.5824979,0
642064,-73.9685398,40.7482147,0
424198,-73.8700582,40.8782895,0
827755,-74.1671933,40.6204388,0
645398,-73.9887629,40.696197,0
540930,-73.8842489,40.8361789,0
377474,-74.2221353,40.5268698,0
296943,-74.004927,40.7570213,0
827734,-74.1769417,40.6174417,0
309036,-74.1046983,40.6306952,0
228000,-73.9839993,40.7855354,0
227203,-74.1097619,40.5704668,1
804178,-73.9060747,40.7529126,0
645936,-73.8727713,40.7360471,0
384168,-73.9891656,40.7478946,0
766693,-73.8078122,40.687146,0
222018,-74.0045344,40.7162809,0
997794,-73.77403,40.7096722,0
624464,-74.1331691,40.5523565,0
617612,-73.9744596,40.5857583,0
440463,-74.0689388,40.6038348,0
636600,-73.987748,40.7440655,0
247481,-73.9360334,40.5861184,0
793932,-73.9804639,40.6997037,2
326079,-73.9176873,40.8160806,0
580568,-73.9347612,40.836059,0
59721,-73.9052349,40.6760311,0
592370,-74.0061151,40.7237466,0
641400,-74.1525344,40.6114589,0
922026,-73.8142714,40.7387357,2
796380,-73.7975741,40.7175179,1
736274,-73.9160706,40.7699045,1
628249,-73.7823167,40.7893858,0
226293,-73.9139879,40.8299799,1
605026,-73.9830033,40.5848102,1
425814,-73.92446,40.8234685,1
783882,-73.9977679,40.6911938,0
782328,-73.775224,40.6679154,1
715007,-74.0212135,40.6385119,1
802554,-73.7417243,40.7554843,0
323158,-73.9390768,40.8216382,1
861980,-74.0083473,40.7447026,0
711612,-73.9131663,40.825456,1
405259,-73.8474041,40.6698783,2
247731,-73.8960871,40.7483286,1
559987,-73.8732802,40.8380117,0
651264,-74.144187,40.5720372,0
511183,-74.0116762,40.6504827,0
581748,-73.9517434,40.777874,0
653461,-73.9147428,40.8443435,0
878687,-73.9870157,40.7610362,0
243244,-74.0052093,40.7206286,1
741348,-73.7447571,40.7533218,0
283347,-73.9360648,40.7000115,1
235408,-73.9883065,40.6667703,0
330429,-73.9993335,40.6916827,0
311775,-73.8489844,40.7384163,0
498341,-73.9058416,40.8310577,0
224608,-73.9833381,40.7149321,0
713306,-73.7731469,40.7247528,0
221182,-73.9140892,40.7011967,0
607295,-74.0082179,40.6536361,0
775423,-74.1623111,40.6181615,0
638986,-73.9619387,40.7736894,0
280229,-73.9085154,40.7688806,0
659066,-73.8965724,40.705766,1
