,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
496771,-73.9934636,40.7521904,0
87934,-73.9238321,40.699628,0
444540,-73.9688897,40.7641617,0
454849,-73.9389869,40.5808427,0
90944,-73.8960291,40.7350192,0
848894,-73.8052917,40.6874499,0
797387,-73.7697441,40.6837777,1
832763,-73.9693376,40.763547,0
262699,-73.9834881,40.6187991,0
21476,-73.979996,40.783844,0
926741,-74.0871048,40.6075582,0
18722,-73.98682,40.699955,0
524239,-73.9950494,40.734034,0
980198,-73.9147428,40.8443435,0
618592,-73.9601624,40.7133455,0
786570,-73.9749359,40.7460781,0
542565,-73.9325786,40.7558214,4
748736,-73.8186415,40.789022,1
589127,-73.9061795,40.7371945,0
351978,-73.9730274,40.74445,0
570055,-73.9838116,40.7407905,0
909893,-74.0021087,40.6769316,1
867164,-74.0926175,40.5859406,0
334765,-73.9842582,40.5915681,1
82766,-73.9229549,40.8439815,0
750309,-73.845256,40.7194405,0
334315,-73.7583289,40.7195818,0
537592,-73.9583896,40.710246,0
357302,-73.8284868,40.6541542,1
335569,-73.8280564,40.7470339,1
656958,-73.890713,40.8324085,1
19426,-73.804054,40.706253,0
3373,-73.94762,40.747356,0
611417,-73.9132766,40.635508,1
380357,-73.874054,40.6892997,0
691558,-74.0308435,40.6166991,0
6580,-73.95342,40.694893,0
848847,-73.8297868,40.8589864,1
825589,-74.1270866,40.5763722,0
864560,-73.774355,40.74989,1
721720,-73.7823317,40.788556,0
657001,-73.9809793,40.764222,0
479337,-73.9366697,40.628944,1
510174,-73.9854275,40.6783447,0
574649,-73.754748,40.7192174,0
146690,-73.9324757,40.8609003,0
406291,-74.0041015,40.6577569,0
618466,-74.0163384,40.6459972,0
593260,-73.9845292,40.6960346,0
700532,-73.9543321,40.7626784,2
920838,-74.0887812,40.6082548,0
827255,-74.1566389,40.5448939,0
230550,-73.9123297,40.6541334,0
653584,-73.9891291,40.6845894,0
985635,-73.8330138,40.7283926,0
401481,-73.9840137,40.5901544,1
714346,-73.9840682,40.618242,0
426653,-73.8680573,40.6911841,0
358500,-73.8331913,40.659379,0
260611,-73.9105232,40.6225834,0
341217,-73.9806664,40.7850271,0
319443,-73.9353335,40.609974,0
641741,-73.9586905,40.7019514,0
422251,-73.9455695,40.8127513,1
333367,-73.8417886,40.6588998,1
122970,-73.7732905,40.7680216,1
35442,-73.92492,40.861835,0
938497,-73.9471151,40.5847573,1
973834,-73.9285984,40.8626134,1
66421,-74.1205687,40.6269879,1
407247,-73.9862873,40.7222418,1
2014,-73.815735,40.770245,0
923051,-73.9853438,40.714463,1
1003843,-73.9021092,40.8185057,1
572554,-74.1610238,40.5398978,0
332601,-73.9014132,40.8468635,5
871511,-73.8291817,40.6867715,0
897590,-73.8996038,40.6639246,0
536153,-73.9686462,40.6219415,0
829206,-73.9375408,40.7887968,0
586950,-73.8902362,40.820099,0
41833,-73.92314,40.863415,1
749599,-74.0070233,40.7488912,0
245750,-73.944639,40.7023133,0
620235,-73.940021,40.8203405,2
628727,-73.8375523,40.8307274,1
864083,-73.8144373,40.7219476,1
1002466,-73.9615705,40.8112042,0
278544,-73.8856886,40.6691899,0
98228,-73.921595,40.62392,0
277090,-73.9420284,40.6436644,0
575561,-73.922076,40.6686054,0
303609,-73.9593765,40.6414705,1
470850,-73.8370922,40.7240823,2
701184,-73.9522385,40.7771936,0
31215,-73.73567,40.66292,0
743904,-74.0055325,40.7458144,1
654169,-73.7771606,40.7223457,0
585603,-74.1525287,40.5806177,1
787499,-73.9873956,40.7183032,1
690147,-73.7320603,40.6752559,0
285401,-73.8725586,40.8565383,0
537404,-73.7604251,40.6833771,1
683877,-73.7392454,40.6673148,0
478090,-73.9679705,40.5886305,0
617432,-73.9716649,40.7288907,0
282730,-73.8372425,40.857358,0
421958,-74.0064968,40.6418837,0
292368,-73.7992231,40.7365627,0
391434,-73.8183784,40.7385926,0
791551,-73.9884301,40.7232603,1
810315,-73.9962474,40.6998237,1
986068,-73.8949996,40.6303847,0
713849,-73.846784,40.684046,1
836332,-73.851008,40.7187345,0
919641,-73.846145,40.8687936,0
237917,-73.8572259,40.8262031,5
310530,-73.826959,40.69433,0
969172,-73.8649118,40.7339448,2
574371,-73.9796117,40.710977,1
513039,-73.9656272,40.7903648,0
81584,-73.8918464,40.7042685,0
640490,-73.8167895,40.7031321,1
781834,-73.9502882,40.7005922,0
62703,-73.7673526,40.6561603,1
54408,-73.8967171,40.6752608,0
832556,-73.8508783,40.6912455,0
1004510,-73.9799732,40.7605247,1
70643,-73.8691395,40.8379935,2
956841,-73.9599419,40.5819581,1
393576,-74.0883648,40.5907529,0
376003,-73.8488335,40.6881494,0
308250,-73.9723632,40.762288,0
635037,-73.9548552,40.8000308,0
298361,-74.1512571,40.6101467,0
608423,-73.931394,40.8677802,0
415866,-73.9868089,40.7297762,0
507892,-73.8334434,40.7711989,0
18558,-73.902565,40.7497,2
983701,-73.8134147,40.7199533,0
662821,-73.9938096,40.6019498,0
492579,-73.9932914,40.7422352,0
732592,-73.8396576,40.7652999,0
574575,-73.9253814,40.707405,1
320489,-73.9094984,40.7700398,0
515251,-73.8786343,40.8730592,0
308839,-73.9428513,40.7051807,2
732915,-73.9465495,40.6046576,3
714013,-73.8305256,40.6914314,0
496903,-73.832233,40.7151185,2
369277,-73.8560987,40.7365373,0
542815,-73.8501426,40.7493385,1
322217,-73.9647563,40.7640562,0
357297,-73.9928968,40.7199725,0
77457,-73.9770225,40.681486,1
582984,-74.111007,40.6106795,4
666281,-73.9163115,40.7408546,0
801194,-73.9468634,40.8392397,0
927410,-73.973995,40.6140296,2
15249,-73.87887,40.75624,0
25131,-73.72915,40.72667,0
547194,-73.9582923,40.6697798,0
523409,-73.9351714,40.8473568,0
951434,-73.9857652,40.7177239,0
247207,-74.1126115,40.5676287,2
906161,-74.0071366,40.6274818,1
242206,-73.7677721,40.7106259,0
10974,-73.91901,40.62636,0
68975,-73.9989715,40.7446288,0
100705,-73.947889,40.5863751,0
270600,-73.881916,40.8230413,0
825516,-73.9486043,40.7890547,0
758119,-73.906013,40.7371523,3
942971,-73.7532369,40.6801176,1
537969,-73.9791155,40.6523781,0
869218,-74.1446189,40.5587188,0
729283,-73.754748,40.7192174,1
214931,-73.9259215,40.6465591,1
701833,-73.9945485,40.7707422,0
411425,-73.8755929,40.8752545,1
775166,-74.0157476,40.64656,0
5069,-73.97076,40.672638,1
758261,-73.8350431,40.6946932,0
423446,-74.0117603,40.6368247,0
434857,-73.8657835,40.8889314,0
292486,-73.8122143,40.7542086,0
84567,-73.9611113,40.8118299,0
290442,-73.9199063,40.6443291,0
906127,-74.0921893,40.6099471,0
538922,-73.9291428,40.7520316,1
462515,-73.9309025,40.857979,0
445854,-73.8591614,40.8840707,2
257969,-73.989468,40.7301223,0
252483,-73.9583971,40.6807974,0
633961,-73.9971269,40.7546224,1
13718,-73.93041,40.746296,0
658077,-73.9479156,40.6169,1
226194,-73.8668381,40.6787461,2
794750,-73.9770683,40.7953939,0
346165,-73.9181358,40.6511569,1
446647,-73.7693497,40.7602845,0
761912,-73.9405186,40.7972603,2
39926,-73.93719,40.8076,0
215275,-73.9123967,40.8309366,0
552860,-73.9076597,40.8436876,0
616474,-73.9877793,40.7506611,0
763483,-73.8896944,40.6338025,1
534022,-73.9344282,40.8142347,0
933795,-74.1006842,40.613552,0
607752,-73.9904979,40.6431653,0
250229,-73.911474,40.6417895,0
276341,-73.7864219,40.6978027,0
936619,-73.9350588,40.7590699,1
658098,-73.95092,40.665399,1
612865,-73.9490137,40.7119028,1
300217,-73.8946594,40.7545825,1
387064,-73.8937969,40.7476924,0
881767,-73.8759448,40.7506279,0
897407,-73.9132119,40.6603181,0
996122,-73.9809793,40.764222,0
256521,-73.9379121,40.8036981,0
684181,-73.9801414,40.6323551,0
309389,-73.8449548,40.7356672,0
333489,-74.0026922,40.7446206,0
369463,-73.8006074,40.7864454,0
698287,-74.1647859,40.5438011,1
967035,-73.9862373,40.7723005,0
493416,-73.7650719,40.7263443,0
888844,-73.958584,40.6817416,0
528015,-73.8615054,40.6893731,0
551057,-73.8906229,40.6585778,0
673629,-73.9640277,40.7095343,0
