,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
269249,-73.9656703,40.7628049,0
851603,-73.8440681,40.7340278,0
761031,-73.9808593,40.7419703,0
644685,-73.9767362,40.7476292,0
284866,-73.8059253,40.7863977,0
743568,-73.9480999,40.824563,1
226721,-73.999062,40.6887701,0
342178,-73.9637277,40.7770056,0
417392,-74.1933363,40.5922093,0
24428,-73.92066,40.690926,0
17508,-73.89655,40.907505,0
989592,-73.9514043,40.5993815,0
40577,-73.91546,40.850494,0
956163,-73.9977848,40.7242353,0
800472,-73.7431647,40.7545534,0
756075,-73.9734636,40.7636578,0
682047,-73.9092546,40.8058254,0
430638,-73.8140794,40.6977347,0
843130,-73.8963144,40.8670381,0
330398,-74.0137542,40.7136919,0
496286,-73.9245917,40.6466434,3
413650,-73.9546828,40.6872462,2
390926,-73.9577247,40.717835,0
518175,-73.8859266,40.6304283,0
527367,-73.9744374,40.7565574,0
960107,-73.9654448,40.7659833,0
402749,-73.859826,40.7352865,0
1002896,-73.9591261,40.7580589,0
505176,-73.9578679,40.7652424,0
15740,-74.16984,40.561077,0
580522,-73.994019,40.7565272,0
642047,-73.7323374,40.7203038,0
238959,-73.8262977,40.7170936,0
583121,-73.9363982,40.8495422,0
495120,-73.9940233,40.7094848,1
343450,-74.0217943,40.6243536,0
105789,-73.9204236,40.6396194,0
917878,-74.1146592,40.6110986,0
13089,-73.88009,40.729713,0
401220,-74.0053146,40.7286048,0
531328,-73.9496815,40.8020241,0
832838,-73.9857147,40.7679171,0
18942,-73.97861,40.762394,0
992076,-74.0176144,40.6358082,0
38860,-73.823265,40.684383,0
638414,-74.0121683,40.7203179,1
534630,-73.8203916,40.8695913,0
271073,-73.9390239,40.8439417,0
835324,-73.9885593,40.7691169,0
325073,-74.0041684,40.7476892,1
24271,-74.01034,40.6313,0
647599,-73.9057133,40.8731394,1
947953,-73.8700582,40.8782895,0
965714,-73.8240129,40.7169922,0
570458,-73.9883913,40.7591644,0
442914,-73.9822521,40.7895396,0
26309,-74.01734,40.63073,0
284122,-73.8185874,40.7625656,0
830971,-73.986013,40.7573389,1
227757,-74.1389113,40.6079204,0
743237,-73.8968533,40.6757357,0
484107,-73.722676,40.7345695,0
32469,-73.87035,40.733536,0
