,LONGITUDE,LATITUDE,NUMBER_OF_PERSONS_INJURED
27068,-74.16575,40.545395,1
71370,-73.7277536,40.6814763,0
7789,-73.765785,40.750374,0
414829,-73.9419533,40.8294319,0
544101,-73.952058,40.7872227,0
25427,-73.9673,40.707,0
514415,-73.8225821,40.7891216,0
607749,-73.7929403,40.7871704,1
57652,-73.9528285,40.708973,0
401352,-73.9981373,40.7649043,0
103068,-73.95563,40.757465,1
73942,-73.9604599,40.5887242,0
386008,-73.8337954,40.6961379,0
24975,-73.95973,40.64333,1
51492,-73.8979971,40.8441075,3
51155,-73.8156366,40.7018057,1
32041,-73.857056,40.73251,0
281865,-73.7810721,40.7575928,0
53504,-73.9239294,40.6586459,2
682636,-73.90207,40.8102117,0
78803,-73.8241748,40.6862342,0
216305,-73.794171,40.592963,1
42456,-73.8732802,40.8380117,1
432356,-73.8410666,40.7091579,2
82355,-73.9410529,40.6873224,0
70243,-73.8672578,40.6834429,0
75500,-73.9993335,40.6916827,0
871954,-73.9904664,40.6867277,2
453723,-73.9245444,40.7139891,0
1743,-73.82501,40.70691,0
63876,-73.9264613,40.8401796,0
85171,-73.9228869,40.8091071,0
390010,-73.9441916,40.8146335,0
614489,-73.722676,40.7345695,0
94169,-73.9191518,40.654358,1
832646,-73.976288,40.7597856,1
527248,-73.7922213,40.7191802,0
90725,-73.9000854,40.8670222,0
319926,-73.9170371,40.7354542,0
13398,-73.743935,40.66534,2
852524,-73.7499667,40.7397462,0
51056,-74.006309,40.7141646,0
7034,-73.8089,40.68404,0
287699,-73.8025656,40.6838414,0
31762,-73.94774,40.669704,2
53289,-73.9632047,40.6322932,2
20820,-74.12813,40.556534,0
959290,-73.7865543,40.7408389,0
22454,-73.73666,40.69795,2
972451,-73.8047434,40.7367725,0
30418,-73.94523,40.847897,0
758776,-73.9730457,40.7526925,0
36310,-73.96659,40.76155,0
12658,-73.87157,40.730064,0
991361,-74.163879,40.5554541,1
63864,-73.9705101,40.6020203,0
79594,-73.859396,40.7024569,0
512959,-73.9003,40.6017416,0
89099,-73.9108098,40.8879867,1
366537,-73.9355505,40.6276918,0
825125,-73.9337309,40.8493212,1
107082,-73.9995814,40.6731102,1
44134,-73.9671502,40.8106528,2
49850,-73.913826,40.825687,0
35380,-73.7406,40.723698,1
15057,-73.87954,40.692497,0
29532,-73.91921,40.619423,0
63670,-73.7253678,40.738617,0
15142,-73.88986,40.76458,0
60338,-73.7716647,40.6820111,0
93512,-73.9451685,40.7908949,0
66718,-73.8562889,40.670403,1
479,-73.86577,40.651863,0
289565,-73.8356632,40.7435045,0
109541,-73.8722693,40.8422609,0
119639,-73.80186,40.674934,0
621790,-73.8855108,40.6530915,1
3337,-73.91078,40.643623,0
633678,-73.9611433,40.7075241,0
55829,-73.7567694,40.715917,0
33549,-74.000534,40.71843,1
92050,-73.8806133,40.6791098,1
753939,-73.9506791,40.8108433,0
40237,-73.7464,40.665794,0
20381,-73.86266,40.894093,3
416520,-73.7738282,40.6596509,0
100841,-73.9233788,40.7080761,0
31023,-74.0714,40.601917,0
61288,-74.0894424,40.6076902,1
